id,full_name,player_slug,position
b95bb68d-3c74-46ad-9798-a89c4eec0dca,Dion Lewis,dion-lewis,RB
49164cab-d36e-470d-bce3-33f2dbeb482f,Diontae Johnson,diontae-johnson,WR
b42a2183-e2f9-45ee-a20b-f87a12f51d8a,Domanick Williams,domanick-williams,RB
a9d12494-62e3-4506-873d-6d4f119fe158,Dominic Rhodes,dominic-rhodes,RB
03a32bd6-754f-4a89-97bc-24bfa23baaac,Dominique Mostert,dominique-mostert,RB
205df031-2283-46b8-947f-590654dc704c,Donald Brown,donald-brown,RB
da9b5d20-d998-4ac4-b7a6-ce189a79e12c,Donald Driver,donald-driver,WR
745c0977-a884-4ab4-9460-c747f5e9410c,Donnie Avery,donnie-avery,WR
194c6908-05a6-493f-bf6c-6a5ead9069ac,Donovan McNabb,donovan-mcnabb,QB
7dcc6570-ec2d-43ce-84d1-57e3b44525af,Donte Moncrief,donte-moncrief,WR
154eadfc-38cd-43fb-b2ed-07e27cc8c0f1,Donte' Stallworth,donte-stallworth,WR
c6c27622-da80-4bb1-a5bd-e1f25dc4f650,Douglas Baldwin,douglas-baldwin,WR
b886df58-f82b-479c-ba57-30dff206abf0,Douglas Flutie,douglas-flutie,QB
30e365d4-c2b5-4db4-988c-9b9fb9b0b05e,Douglas Martin,douglas-martin,RB
6d952a93-52bf-4733-babf-53d30ba35d02,Drake London,drake-london,WR
b8ea576a-3dbb-4228-b400-23dc60167d2e,Drew Bledsoe,drew-bledsoe,QB
e71ebb2b-eb1d-485b-858e-d545a1655151,Drew Brees,drew-brees,QB
7e56e7c1-3727-4dfb-9bdb-b4a1a75c92be,Duce Staley,duce-staley,RB
47678fa8-dac3-4e51-b623-5bc63101f8e0,Dulymus McAllister,dulymus-mcallister,RB
408f0001-7e1e-45e7-9ddb-cd0347aa7773,Dwayne Bowe,dwayne-bowe,WR
94a65887-ed9f-4b75-8dc8-1d4991f2ae0c,Earnest Graham,earnest-graham,RB
294336ef-caf1-4f9a-98bb-19fcc639488d,Eddie Kennison,eddie-kennison,WR
2814c61b-0ba8-493a-9840-a9156104dbae,Eddie Lacy,eddie-lacy,RB
68d522b0-34e4-464c-aad5-69f56ffa56d2,Edgerrin James,edgerrin-james,RB
c36f6c33-e6ae-493d-9b1a-5a3812c10c6a,Edward George,edward-george,RB
07423794-8b2f-4e40-ab42-c2eeb1e73166,Edward McCaffrey,edward-mccaffrey,WR
91d8cd9f-9b0a-43a1-a7dd-b3fabc198087,Elijah Mitchell,elijah-mitchell,RB
f3cb3e3e-7c1e-41b2-b5fa-9d7c75e89840,Elijah Moore,elijah-moore,WR
bcb55710-9716-4461-9ba0-77eea1b3eab4,Elisha Manning,elisha-manning,QB
fdd4e971-27aa-4e61-9d9f-fa8e262fb9cf,Elvis Grbac,elvis-grbac,QB
b93e2729-7da1-4699-a892-cbe72b3ea40e,Emmanuel Sanders,emmanuel-sanders,WR
b4f76657-ea1b-468d-9257-32749fac3afa,Emmitt Smith,emmitt-smith,RB
3b499569-d1ea-4237-9b42-45a084f884f1,Eric Decker,eric-decker,WR
8200eff1-48c8-41e8-90a2-5df46dba7e5a,Eric Moulds,eric-moulds,WR
005d43f0-39b4-4331-b23c-5d3aefb3be37,Errick Williams,errick-williams,RB
fa28109f-7bff-459b-913f-82e407bf3c3d,Eugene Hilton,eugene-hilton,WR
51f5d68a-50e7-497c-822e-31bf52960e61,Eugene Smith,eugene-smith,QB
c5c60d12-3fc9-4c09-8621-d73c0429f6fe,Ezekiel Elliott,ezekiel-elliott,RB
438b2b76-ea6b-4b1b-9d92-c292174724c4,Felix Jones,felix-jones,RB
d05e241b-e031-4d3a-852f-e9b005760569,Franklin Gore,franklin-gore,RB
2dac9e88-938f-45df-a39e-869f9af9de86,Frederick Taylor,frederick-taylor,RB
f9c1c4e7-8b6d-4b74-8a74-af0394a60d82,Fredrick Jackson,fredrick-jackson,RB
945406fd-b966-4030-bba8-2047e9e1cda5,Gabriel Davis,gabriel-davis,WR
0b007e17-c2b4-4edf-b62a-f17e5f6b55e9,Gardner Minshew,gardner-minshew,QB
c4282982-a0bf-4f09-9408-256e4954aabd,Garrett Wilson,garrett-wilson,WR
2197282d-a0eb-49e3-8b5f-2da9151ea60e,Gerald Hearst,gerald-hearst,RB
7732b305-bb19-4440-b79e-002d4f6cf056,Giovani Bernard,giovani-bernard,RB
2f5b9db2-36f9-4d4b-aafc-d19f1bd95b11,Golden Tate,golden-tate,WR
0d8a5310-7f9d-4617-bd62-3e32775bf992,Gregory Jennings,gregory-jennings,WR
dcbbe39f-f8e1-4b00-bd8c-7af2df09b3b9,Gustave Frerotte,gustave-frerotte,QB
8cd7cf85-b9c5-47cc-a2b9-d23e0ffca703,Hakeem Nicks,hakeem-nicks,WR
2c925fe2-1364-4673-b423-cd55f61e41f2,Harry Douglas,harry-douglas,WR
29d9aa22-e17c-4392-9dbc-a18984b2de59,Hines Ward,hines-ward,WR
c84fb629-0b91-468a-9dac-b3df06bd3e1c,Hunter Renfrow,hunter-renfrow,WR
ef5e685b-490d-43c5-9123-b02012356a9b,Isaac Bruce,isaac-bruce,WR
cf3c45cd-46dc-497c-87ac-d92c1a5304a7,Isaac Hilliard,isaac-hilliard,WR
2bbfe711-8e13-4e25-ab32-f75fadd2da70,Isaiah Crowell,isaiah-crowell,RB
d9c6f61e-47fa-43ce-9305-4647e97efa3a,Isaiah Jones,isaiah-jones,WR
c5ffac92-9ff1-4207-bd8e-50756484d8ba,Isiah Pacheco,isiah-pacheco,RB
c4322f11-454e-4968-948e-ae39a01ad788,J.K. Dobbins,j-k-dobbins,RB
0769ca9a-9840-4e4b-ac40-5af602f4e746,Ja'Marr Chase,ja-marr-chase,WR
9053f31e-1043-4712-b0d7-b391663d26bb,Jacoby Brissett,jacoby-brissett,QB
741a5a68-4ed4-4861-b08c-53e420776644,Jacoby Jones,jacoby-jones,WR
