player_slug,college
kenneth-walker,Michigan State
kenyan-drake,Alabama
kerry-collins,Penn State
kevan-barlow,Pittsburgh
kevin-curtis,Utah State
kevin-faulk,LSU
kevin-johnson,Syracuse
kevin-jones,Virginia Tech
kevin-kolb,Houston
kevin-smith,UCF
kevin-walter,Eastern Michigan
keyshawn-johnson,USC
khalil-herbert,Virginia Tech
kirk-cousins,Michigan State
knowshon-moreno,Georgia
kordell-stewart,Colorado
koren-robinson,N.C. State
kurtis-warner,Northern Iowa
kyle-boller,California
kyle-orton,Purdue
kyler-murray,Oklahoma
kyren-williams,Notre Dame
ladainian-tomlinson,TCU
ladell-betts,Iowa
lamar-jackson,Louisville
lamar-miller,Miami
lamar-smith,Houston
lamont-jordan,Maryland
lance-moore,Toledo
larry-fitzgerald,Pittsburgh
larry-johnson,Penn State
latavius-murray,UCF
laurence-maroney,Minnesota
laveranues-coles,Florida State
lavonya-carter,Georgia
le-veon-bell,Michigan State
lee-evans,Wisconsin
legarrette-blount,Oregon
leon-washington,Florida State
leonard-fournette,LSU
lesean-mccoy,Pittsburgh
malcom-floyd,Wyoming
marc-bulger,West Virginia
marcel-shipp,UMass Amherst
marcus-mariota,Oregon
marcus-robinson,South Carolina
mario-manningham,Michigan
marion-barber,Minnesota
mark-brunell,Washington
mark-clayton,Oklahoma
mark-ingram,Alabama
mark-sanchez,USC
marlon-mack,University of South Florida
marques-colston,Hofstra
marquez-valdes-scantling,University of South Florida
marquise-brown,Oklahoma
marshall-faulk,San Diego State
marshawn-lynch,California
marty-booker,Louisiana-Monroe
marvin-harrison,Ohio State
marvin-jones,California
matthew-breida,Georgia Southern
matthew-cassel,USC
matthew-forte,Tulane
matthew-hasselbeck,Boston College
matthew-moore,Boise State
matthew-ryan,Boston College
matthew-schaub,Virginia
maurice-jones-drew,UCLA
maurice-morris,Oregon
melvin-gordon,Wisconsin
mewelde-moore,Tulane
michael-anderson,Utah
michael-bell,Arizona
michael-bennett,Wisconsin
michael-burkhead,Nebraska
michael-bush,Louisville
michael-clayton,LSU
michael-crabtree,Texas Tech
michael-evans,Texas A&M
michael-floyd,Notre Dame
michael-furrey,Northern Iowa
michael-gallup,Colorado State
michael-glennon,N.C. State
michael-jenkins,Ohio State
michael-jones,Arizona State
michael-pittman,Fresno State
michael-pittman-wr-f0130678,USC
michael-thomas,Ohio State
michael-turner,Northern Illinois
michael-vick,Virginia Tech
michael-williams,Syracuse
michael-williams-wr-1856a76a,Clemson
mike-davis,South Carolina
miles-austin,Monmouth
miles-sanders,Penn State
mitchell-trubisky,North Carolina
mohamed-sanu,Rutgers
muhsin-muhammad,Michigan State
najee-harris,Alabama
najeh-davenport,Miami
nathaniel-burleson,Nevada
nathaniel-washington,Tennessee
nelson-agholor,USC
nicholas-chubb,Georgia
nicholas-foles,Arizona
nicholas-mullens,Southern Mississippi
nick-goings,Pittsburgh
nico-collins,Michigan
odell-beckham,LSU
patrick-crayton,Northwestern Oklahoma State University
patrick-mahomes,Texas Tech
patrick-ramsey,Tulane
paul-lock,Missouri
peerless-price,Tennessee
percy-harvin,Florida
peter-warrick,Florida State
peyton-hillis,Arkansas
peyton-manning,Tennessee
philip-rivers,N.C. State
phillip-lindsay,Colorado
pierre-garcon,Mount Union College
plaxico-burress,Michigan State
priest-holmes,Texas
puka-nacua,BYU
quintorres-jones,Alabama
rachaad-white,Arizona State
randall-cobb,Kentucky
randy-johnson,Georgia
randy-moss,Marshall
rashad-jennings,Liberty
rashard-mendenhall,Illinois
raymell-rice,Rutgers
rayne-prescott,Mississippi State
reginald-bush,USC
reginald-wayne,Miami
reuben-droughns,Oregon
rex-grossman,Florida
rhamondre-stevenson,Oklahoma
richard-gannon,Delaware
richard-proehl,Wake Forest
rishard-matthews,Nevada
robby-bortles,UCF
robert-chosen,Temple
robert-griffin,Baylor
robert-wade,Arizona
robert-woods,USC
rod-godwin,Penn State
roderick-gardner,Clemson
roderick-smith,Arkansas
ronald-dayne,Wisconsin
ronald-jones,USC
ronnie-brown,Auburn
ronnie-hillman,San Diego State
roy-williams,Texas
royce-freeman,Oregon
rudi-johnson,Auburn
russell-gage,LSU
russell-wilson,Wisconsin
ryan-fitzpatrick,Harvard
ryan-grant,Notre Dame
ryan-mathews,Fresno State
ryan-tannehill,Texas A&M
sam-darnold,USC
samaje-perine,Oklahoma
samuel-bradford,Oklahoma
samuel-morris,Texas Tech
samuel-watkins,Clemson
santana-moss,Miami
santonio-holmes,Ohio State
saquon-barkley,Penn State
sharod-white,Michigan State
shaun-alexander,Alabama
shaun-hill,Maryland
shaun-mcdonald,Arizona State
shonn-greene,Iowa
sidney-rice,South Carolina
sony-michel,Georgia
stacey-mack,Temple
stefon-diggs,Maryland
stephen-beuerlein,Notre Dame
stephen-davis,Auburn
sterling-shepard,Oklahoma
stevan-ridley,LSU
steve-mcnair,Alcorn State
steven-breaston,Michigan
steven-jackson,Oregon State
steven-johnson,Kentucky
steven-slaton,West Virginia
steven-smith,USC
stevonne-smith,Utah
tai-streets,Michigan
tamurice-higgins,Clemson
tarvaris-jackson,Alabama State
tatum-bell,Oklahoma State
tavon-austin,West Virginia
taylor-gabriel,Abilene Christian
taylor-heinicke,Old Dominion
terrance-west,Towson State
terrance-williams,Baylor
terrell-owens,Tennessee-Chattanooga
terry-glenn,Ohio State
terry-mclaurin,Ohio State
tevin-coleman,Indiana
theodore-bridgewater,Louisville
theodore-ginn,Ohio State
thomas-brady,Michigan
thomas-jones,Virginia
timothy-brown,Notre Dame
timothy-couch,Kentucky
timothy-hightower,Richmond
timothy-yeldon,Alabama
todd-duckett,Michigan State
todd-gurley,Georgia
tony-pollard,Memphis
torry-holt,N.C. State
touraj-houshmandzadeh,Oregon State
travis-benjamin,Miami
travis-etienne,Clemson
travis-henry,Tennessee
travis-taylor,Florida
trent-dilfer,Fresno State
trent-edwards,Stanford
trent-green,Indiana
trevor-siemian,Northwestern
troy-brown,Marshall
troy-hambrick,Savannah State College
tuanigamanuolepola-tagovailoa,Alabama
tyler-allgeier,BYU
tyler-boyd,Pittsburgh
tyler-lockett,Kansas State
tyreek-hill,West Alabama
tyrell-williams,Western Oregon
tyrod-taylor,Virginia Tech
tyrone-wheatley,Michigan
tyshun-samuel,South Carolina
victor-cruz,UMass Amherst
vincent-jackson,Northern Colorado
vincent-testaverde,Miami
vincent-young,Texas
warrick-dunn,Florida State
wayne-chrebet,Hofstra
wesley-welker,Texas Tech
william-fuller,Notre Dame
william-green,Boston College
william-lawrence,Clemson
william-royal,Virginia Tech
william-schroeder,Wisconsin La Crosse
willie-parker,North Carolina
willie-snead,Ball State
willis-mcgahee,Miami
zaccheus-moss,Utah
zachary-wilson,BYU
