player_slug,full_name,position,position_norm,first_season,picked_college,reason_code,distinct_candidate_colleges,scores
michael-bell,Michael Bell,RB,RB,2006,Arizona,1,2,"{'Arizona': 13.5, 'Colorado State': 7.5}"
michael-bennett,Michael Bennett,RB,RB,2001,Wisconsin,0,4,"{'Georgia': 12.5, 'Ohio State': 12.5, 'Texas A&M': 12.5, 'Wisconsin': 37.5}"
michael-evans,Michael Evans,WR,WR,2014,Texas A&M,0,2,"{'Michigan': 7.5, 'Texas A&M': 22.5}"
michael-jenkins,Michael Jenkins,WR,WR,2004,Ohio State,0,3,"{'Hampton': 13.5, 'Ohio State': 37.5, 'University of South Florida': 7.5}"
michael-jones,Michael Jones,QB,QB,2021,Arizona State,3,6,"{'Arizona State': 12.5, 'Brockport State': 7.5, 'Iowa': 7.5, 'Jackson State University': 7.5, 'Tennessee State': 7.5, 'Texas A&M': 7.5}"
michael-pittman,Michael Pittman,RB,RB,2000,Fresno State,1,2,"{'Fresno State': 27.5, 'USC': 12.5}"
michael-pittman-wr-f0130678,Michael Pittman,WR,WR,2020,USC,0,2,"{'Fresno State': 12.5, 'USC': 37.5}"
michael-thomas,Michael Thomas,WR,WR,2016,Ohio State,0,5,"{'Arizona': 13.5, 'Ohio State': 37.5, 'Southern Mississippi': 22.5, 'Stanford': 12.5, 'UNLV': 7.5}"
michael-turner,Michael Turner,RB,RB,2004,Northern Illinois,0,2,"{'LSU': 7.5, 'Northern Illinois': 37.5}"
michael-williams,Michael Williams,WR,WR,2010,Syracuse,0,11,"{'Alabama': 12.5, 'Alabama A&M': 7.5, 'Clemson': 13.5, 'LSU': 7.5, 'Mississippi College': 12.5, 'New Mexico': 7.5, 'Northeastern University, Mass': 13.5, 'Syracuse': 22.5, 'Texas': 7.5, 'UCLA': 7.5, 'USC': 13.5}"
michael-williams-wr-1856a76a,Michael Williams,WR,WR,2017,Clemson,0,11,"{'Alabama': 12.5, 'Alabama A&M': 7.5, 'Clemson': 22.5, 'LSU': 7.5, 'Mississippi College': 12.5, 'New Mexico': 7.5, 'Northeastern University, Mass': 13.5, 'Syracuse': 13.5, 'Texas': 7.5, 'UCLA': 7.5, 'USC': 13.5}"
mike-davis,Mike Davis,RB,RB,2015,South Carolina,0,5,"{'BYU': 7.5, 'Cincinnati': 22.5, 'Colorado': 22.5, 'Mississippi State': 13.5, 'South Carolina': 67.5}"
randy-johnson,Randy Johnson,RB,RB,2015,Georgia,3,2,"{'Georgia': 22.5, 'Texas A&M University-Kingsville': 22.5}"
robert-woods,Robert Woods,WR,WR,2013,USC,0,4,"{'Arizona': 7.5, 'Grambling State': 22.5, 'Tennessee State': 12.5, 'USC': 37.5}"
roy-williams,Roy Williams,WR,WR,2004,Texas,0,2,"{'Oklahoma': 31.5, 'Texas': 67.5}"
ryan-grant,Ryan Grant,RB,RB,2007,Notre Dame,1,2,"{'Notre Dame': 40.5, 'Tulane': 22.5}"
simon-engram,Simon Engram,WR,WR,2000,,4,0,{}
stephen-davis,Stephen Davis,RB,RB,2000,Auburn,1,2,"{'Auburn': 22.5, 'Delaware State': 13.5}"
steven-jackson,Steven Jackson,RB,RB,2004,Oregon State,0,4,"{'Clemson': 22.5, 'LSU': 7.5, 'Oregon State': 37.5, 'Purdue': 7.5}"
steven-johnson,Steven Johnson,WR,WR,2008,Kentucky,1,3,"{'Kansas': 12.5, 'Kentucky': 13.5, 'Virginia Tech': 7.5}"
steven-smith,Steven Smith,WR,WR,2007,USC,0,5,"{'Michigan': 15.0, 'Oregon': 15.0, 'Penn State': 15.0, 'USC': 45.0, 'Utah': 27.0}"
stevonne-smith,Stevonne Smith,WR,WR,2001,Utah,0,5,"{'Michigan': 7.5, 'Oregon': 13.5, 'Penn State': 7.5, 'USC': 13.5, 'Utah': 22.5}"
thomas-maddox,Thomas Maddox,QB,QB,2001,,4,0,{}
timothy-brown,Timothy Brown,WR,WR,2000,Notre Dame,1,2,"{'Notre Dame': 13.5, 'Rutgers': 13.5}"
tyrone-wheatley,Tyrone Wheatley,RB,RB,2000,Michigan,1,2,"{'Michigan': 22.5, 'Stony Brook': 12.5}"
william-fuller,William Fuller,WR,WR,2016,Notre Dame,0,2,"{'North Carolina': 12.5, 'Notre Dame': 45.0}"
william-green,William Green,RB,RB,2002,Boston College,0,2,"{'Boston College': 37.5, 'Mississippi': 2.5}"
willie-parker,Willie Parker,RB,RB,2004,North Carolina,1,2,"{'North Carolina': 22.5, 'North Texas': 12.5}"
